#	date	

17:14:17.147430		MAIN	INFO	SCENARIO	FILENAME	sample_scenario_complete.txt
17:14:17.147651		MAIN	INFO	SCREENSIZE	WIDTH	1920
17:14:17.147745		MAIN	INFO	SCREENSIZE	HEIGHT	1080
17:14:17.161835		MAIN	INFO	COMMUNICATIONS	AOI_X	[0, 563]
17:14:17.161944		MAIN	INFO	COMMUNICATIONS	AOI_Y	[580, 1080]
17:14:17.165222		MAIN	INFO	SYSMON	AOI_X	[0, 668]
17:14:17.165332		MAIN	INFO	SYSMON	AOI_Y	[40, 540]
17:14:17.165539		MAIN	INFO	TRACK	AOI_X	[563, 1585]
17:14:17.165613		MAIN	INFO	TRACK	AOI_Y	[40, 540]
17:14:17.165762		MAIN	INFO	RESMAN	AOI_X	[563, 1585]
17:14:17.165829		MAIN	INFO	RESMAN	AOI_Y	[580, 1080]
17:14:17.165968		MAIN	INFO	PUMPSTATUS	AOI_X	[1576, 1919]
17:14:17.166034		MAIN	INFO	PUMPSTATUS	AOI_Y	[580, 1080]
17:14:17.166174		MAIN	INFO	SCHEDULING	AOI_X	[1576, 1919]
17:14:17.166240		MAIN	INFO	SCHEDULING	AOI_Y	[40, 540]
17:14:17.194748		MAIN	SCENARIO	COMMUNICATIONS	CALLSIGNREGEX	[A-Z][A-Z]\d\d
17:14:17.194830		MAIN	SCENARIO	COMMUNICATIONS	OTHERCALLSIGNNUMBER	5
17:14:17.194858		MAIN	SCENARIO	COMMUNICATIONS	VOICEGENDER	male
17:14:17.194880		MAIN	SCENARIO	COMMUNICATIONS	VOICEIDIOM	english
17:14:17.195902		COMMUN	STATE	OWNCALLSIGN		DM02
17:14:17.212404		COMMUN	STATE	OTHERCALLSIGN		['AH58', 'GY61', 'RS49', 'TZ37', 'WN02']
17:14:17.214324		MAIN	STATE	COMMUNICATIONS	START
17:14:17.238246		MAIN	STATE	SYSMON	START
17:14:17.238576		TRACK	STATE	TARGET	X	0.5
17:14:17.238628		TRACK	STATE	TARGET	Y	0.5
17:14:17.238650		TRACK	STATE	TARGET	RADIUS	0.1
17:14:17.238670		TRACK	STATE		MODE	MANUAL
17:14:17.238687		MAIN	STATE	TRACK	START
17:14:17.262968		TRACK	STATE	CURSOR	X	-0.005516775197660122
17:14:17.263294		TRACK	STATE	CURSOR	Y	0.11359653410186814
17:14:17.283638		TRACK	STATE	CURSOR	X	-0.005461320189568085
17:14:17.284512		TRACK	STATE	CURSOR	Y	0.11314798830436561
17:14:17.303697		TRACK	STATE	CURSOR	X	-0.005413213577858335
17:14:17.303800		TRACK	STATE	CURSOR	Y	0.11269989424422301
17:14:17.324080		TRACK	STATE	CURSOR	X	-0.005367677131165029
17:14:17.324188		TRACK	STATE	CURSOR	Y	0.11220754690872654
17:14:17.344406		TRACK	STATE	CURSOR	X	-0.005329077066221155
17:14:17.344512		TRACK	STATE	CURSOR	Y	0.11171793778864518
17:14:17.364781		TRACK	STATE	CURSOR	X	-0.005295156436081712
17:14:17.364903		TRACK	STATE	CURSOR	Y	0.11120822892401533
17:14:17.385129		TRACK	STATE	CURSOR	X	-0.005264604838795234
17:14:17.385220		TRACK	STATE	CURSOR	Y	0.11065151573921643
17:14:17.405463		TRACK	STATE	CURSOR	X	-0.00524035841389256
17:14:17.405569		TRACK	STATE	CURSOR	Y	0.11010092995820815
17:14:17.425826		TRACK	STATE	CURSOR	X	-0.0052208688710159434
17:14:17.425939		TRACK	STATE	CURSOR	Y	0.10953057052260891
17:14:17.446488		TRACK	STATE	CURSOR	X	-0.005205550124127878
17:14:17.446622		TRACK	STATE	CURSOR	Y	0.1089105357282743
17:14:17.466623		TRACK	STATE	CURSOR	X	-0.005195884549155862
17:14:17.466731		TRACK	STATE	CURSOR	Y	0.10829999790150292
17:14:17.486855		TRACK	STATE	CURSOR	X	-0.0051910444767361286
17:14:17.486962		TRACK	STATE	CURSOR	Y	0.10767004169748419
