#	date	

22:53:34.972960		MAIN	INFO	SCENARIO	FILENAME	scenario_demo.txt
22:53:34.973998		MAIN	INFO	SCREENSIZE	WIDTH	1920
22:53:34.973998		MAIN	INFO	SCREENSIZE	HEIGHT	1080
22:53:35.025327		MAIN	INFO	COMMUNICATIONS	AOI_X	[0, 563]
22:53:35.025327		MAIN	INFO	COMMUNICATIONS	AOI_Y	[580, 1080]
22:53:35.032338		MAIN	INFO	PUMPSTATUS	AOI_X	[1576, 1919]
22:53:35.032338		MAIN	INFO	PUMPSTATUS	AOI_Y	[580, 1080]
22:53:35.033060		MAIN	INFO	RESMAN	AOI_X	[563, 1585]
22:53:35.033060		MAIN	INFO	RESMAN	AOI_Y	[580, 1080]
22:53:35.033378		MAIN	INFO	SCHEDULING	AOI_X	[1576, 1919]
22:53:35.033809		MAIN	INFO	SCHEDULING	AOI_Y	[40, 540]
22:53:35.034126		MAIN	INFO	SYSMON	AOI_X	[0, 668]
22:53:35.034126		MAIN	INFO	SYSMON	AOI_Y	[40, 540]
22:53:35.034539		MAIN	INFO	TRACK	AOI_X	[563, 1585]
22:53:35.034539		MAIN	INFO	TRACK	AOI_Y	[40, 540]
22:53:35.114427		MAIN	SCENARIO	COMMUNICATIONS	CALLSIGNREGEX	[A-Z][A-Z]\d\d
22:53:35.115169		MAIN	SCENARIO	COMMUNICATIONS	OTHERCALLSIGNNUMBER	5
22:53:35.115336		MAIN	SCENARIO	COMMUNICATIONS	VOICEGENDER	male
22:53:35.115771		MAIN	SCENARIO	COMMUNICATIONS	VOICEIDIOM	english
22:53:35.123832		COMMUN	STATE	OWNCALLSIGN		NR68
22:53:35.140419		COMMUN	STATE	OTHERCALLSIGN		['HU19', 'SK45', 'MY72', 'BJ30', 'ZF42']
22:53:35.142463		MAIN	STATE	COMMUNICATIONS	START
22:53:35.143420		TRACK	STATE	TARGET	X	0.5
22:53:35.143420		TRACK	STATE	TARGET	Y	0.5
22:53:35.144438		TRACK	STATE	TARGET	RADIUS	0.1
22:53:35.144438		TRACK	STATE		MODE	MANUAL
22:53:35.144438		MAIN	STATE	TRACK	START
22:53:35.144438		MAIN	SCENARIO	TRACK	AUTOMATICSOLVER	True
22:53:35.755576		MAIN	STATE	SYSMON	START
22:53:35.760254		MAIN	STATE	PUMPSTATUS	START
22:53:35.763335		RESMAN	STATE	TANK	TOLERANCE	500
22:53:35.763335		RESMAN	STATE	TANKA	TARGET	2500
22:53:35.765431		RESMAN	STATE	TANKB	TARGET	2500
22:53:35.776703		MAIN	STATE	RESMAN	START
22:53:35.784488		MAIN	STATE	SCHEDULING	START
22:53:35.784488		MAIN	STATE		PAUSE
22:53:35.820319		MAIN	STATE	PARTICIPANTINFO	START
22:53:37.379379		MAIN	INPUT	KEY_RELEASE	68
