#	date	

15:47:46.156803		MAIN	INFO	SCENARIO	FILENAME	scenario_settings5.txt
15:47:46.157113		MAIN	INFO	SCREENSIZE	WIDTH	1920
15:47:46.157259		MAIN	INFO	SCREENSIZE	HEIGHT	1080
15:47:46.162493		MAIN	INFO	COMMUNICATIONS	AOI_X	[0, 563]
15:47:46.162646		MAIN	INFO	COMMUNICATIONS	AOI_Y	[580, 1080]
15:47:46.163178		MAIN	INFO	SYSMON	AOI_X	[0, 668]
15:47:46.163318		MAIN	INFO	SYSMON	AOI_Y	[40, 540]
15:47:46.163608		MAIN	INFO	TRACK	AOI_X	[563, 1585]
15:47:46.163766		MAIN	INFO	TRACK	AOI_Y	[40, 540]
15:47:46.164020		MAIN	INFO	RESMAN	AOI_X	[563, 1585]
15:47:46.164126		MAIN	INFO	RESMAN	AOI_Y	[580, 1080]
15:47:46.164329		MAIN	INFO	PUMPSTATUS	AOI_X	[1576, 1919]
15:47:46.164424		MAIN	INFO	PUMPSTATUS	AOI_Y	[580, 1080]
15:47:46.164621		MAIN	INFO	SCHEDULING	AOI_X	[1576, 1919]
15:47:46.164714		MAIN	INFO	SCHEDULING	AOI_Y	[40, 540]
15:47:46.193212		MAIN	SCENARIO	COMMUNICATIONS	CALLSIGNREGEX	[A-Z][A-Z]\d\d
15:47:46.193300		MAIN	SCENARIO	COMMUNICATIONS	OTHERCALLSIGNNUMBER	5
15:47:46.193330		MAIN	SCENARIO	COMMUNICATIONS	VOICEGENDER	male
15:47:46.193354		MAIN	SCENARIO	COMMUNICATIONS	VOICEIDIOM	english
15:47:46.194634		COMMUN	STATE	OWNCALLSIGN		NE68
15:47:46.195572		COMMUN	STATE	OTHERCALLSIGN		['FW93', 'GL27', 'HO05', 'VT14', 'KU18']
15:47:46.196846		MAIN	STATE	COMMUNICATIONS	START
15:47:46.197205		TRACK	STATE	TARGET	X	0.5
15:47:46.197340		TRACK	STATE	TARGET	Y	0.5
15:47:46.197383		TRACK	STATE	TARGET	RADIUS	0.1
15:47:46.197424		TRACK	STATE		MODE	MANUAL
15:47:46.197452		MAIN	STATE	TRACK	START
15:47:46.197512		MAIN	SCENARIO	TRACK	AUTOMATICSOLVER	True
15:47:46.214693		MAIN	STATE	SYSMON	START
15:47:46.236594		TRACK	STATE	CURSOR	X	-0.005522319484932897
15:47:46.236958		TRACK	STATE	CURSOR	Y	0.10363807612342626
15:47:46.256599		TRACK	STATE	CURSOR	X	-0.005468933082961462
15:47:46.256877		TRACK	STATE	CURSOR	Y	0.09321344549921652
15:47:46.277049		TRACK	STATE	CURSOR	X	-0.005420135586415316
15:47:46.277181		TRACK	STATE	CURSOR	Y	0.08276840495240179
15:47:46.297309		TRACK	STATE	CURSOR	X	-0.005373869067975194
15:47:46.297412		TRACK	STATE	CURSOR	Y	0.07227924842128619
15:47:46.317793		TRACK	STATE	CURSOR	X	-0.005334569418223532
15:47:46.317959		TRACK	STATE	CURSOR	Y	0.06179266300682933
15:47:46.338337		TRACK	STATE	CURSOR	X	-0.005298337166157213
15:47:46.338452		TRACK	STATE	CURSOR	Y	0.0512601013694671
15:47:46.358713		TRACK	STATE	CURSOR	X	-0.00526865058597802
15:47:46.358815		TRACK	STATE	CURSOR	Y	0.04073239127819193
15:47:46.379034		TRACK	STATE	CURSOR	X	-0.005243692712697201
15:47:46.379139		TRACK	STATE	CURSOR	Y	0.030184781123365298
15:47:46.399351		TRACK	STATE	CURSOR	X	-0.005222603088954669
15:47:46.399456		TRACK	STATE	CURSOR	Y	0.019588493076220397
15:47:46.420218		TRACK	STATE	CURSOR	X	-0.005206781264319542
15:47:46.420324		TRACK	STATE	CURSOR	Y	0.018970516866277203
15:47:46.440286		TRACK	STATE	CURSOR	X	-0.005196634306453692
15:47:46.440409		TRACK	STATE	CURSOR	Y	0.018361927509838165
15:47:46.460441		TRACK	STATE	CURSOR	X	-0.00519131074319167
15:47:46.460547		TRACK	STATE	CURSOR	Y	0.0177339076706921
15:47:46.480747		TRACK	STATE	CURSOR	X	-0.005190831217325285
15:47:46.480862		TRACK	STATE	CURSOR	Y	0.017086579785672067
15:47:46.501069		TRACK	STATE	CURSOR	X	-0.005195215397316645
15:47:46.501179		TRACK	STATE	CURSOR	Y	0.016420069349989456
15:47:46.521345		TRACK	STATE	CURSOR	X	-0.005205073784524468
15:47:46.521455		TRACK	STATE	CURSOR	Y	0.015699728852139237
15:47:46.541620		TRACK	STATE	CURSOR	X	-0.005219485905870874
15:47:46.541717		TRACK	STATE	CURSOR	Y	0.014994299310909585
15:47:46.561929		TRACK	STATE	CURSOR	X	-0.005238815642054186
15:47:46.562024		TRACK	STATE	CURSOR	Y	0.014270088645289482
15:47:46.582169		TRACK	STATE	CURSOR	X	-0.005264421571586149
15:47:46.582308		TRACK	STATE	CURSOR	Y	0.013489604927009534
